ID,Zadanie,Produkt,Wymaganie źródłowe (Cele zadań 11 i 14),Pokrycie w Spec v2.0,Status,Luka / rozbieżność,Priorytet,Działanie w Spec v3.0,Właściciel domknięcia,"Pokrycie w istniejącej aplikacji (audyt kodu, 26.07.2026)"
14.7.a,Zadanie 14,14.7 Regionalny DSS,"8 inputów + 11 obszarów rekomendacji (typy projektów, poziomy TRL, grupy beneficjentów, MŚP, JST, nauka–biznes, demonstracje, doradztwo, audyt, KPI)",Zbiorczo w Module 3 bez specyfiki regionalnej,CZĘŚCIOWE,Rekomendacje typów projektów i TRL nieujęte — DSS regionalny bez treści merytorycznej,P1,Rozszerzenie silnika reguł o wymiar regionalny + katalog interwencji,Zespół merytoryczny + Metodolog,ATRAPA — „symulator Marszałka”: zmiana absorpcji = budżet·0.2 + dni·0.15 + wkład·0.1 + nabory·2.5 — współczynniki arbitralne bez podstawy empirycznej
14.7.b,Zadanie 14,14.7 Regionalny DSS,Bezpiecznik regionalny: 7 warunków blokady + 6 wariantów fallback; wynik: maks. 3 warianty × 10 elementów,Fallback 1-wariantowy („pilotaż”); warunki 2 z 7,CZĘŚCIOWE,Wachlarz odpowiedzi zubożony — system zna tylko jedną alternatywę,P0,Komplet warunków i wariantów w regułach + kontrakt wyniku,Metodolog,BRAK — brak bezpiecznika i wariantów fallback
14.8.a,Zadanie 14,14.8 Model EKO_Lokacji,"Dane wejściowe siting: dostępność transportowa, dostępność cyfrowa, rozproszenie ludności (+ 14 innych)",Brak jakichkolwiek danych lokalizacyjno-dostępnościowych,BRAK,Model LOKALIZACJI bez danych o lokalizacji — wewnętrzna sprzeczność produktu,P1,Źródła dostępności + ocena wykonalności integracji,Data engineer + Zespół merytoryczny,BRAK — zero danych dostępności transportowej/cyfrowej
14.8.b,Zadanie 14,14.8 Model EKO_Lokacji,"10 modeli EKO_Lokacji (hub transferu, komercjalizacja, transformacja przemysłowa, GOZ, efektywność zasobowa, MŚP, doradztwo JST, sieciowy, mobilny, hybrydowy)",2–3 modele (hub/GOZ vs mobilny/pilotażowy/sieciowy),CZĘŚCIOWE,Katalog zubożony — regiony pośrednie bez adekwatnej opcji,P1,Pełny katalog + kryteria przypisania modelu,Zespół merytoryczny,ZALĄŻEK — warstwy GIS sugerują typy lokalizacji; katalogu 10 modeli brak
14.8.c,Zadanie 14,14.8 Model EKO_Lokacji,Output: 11 elementów per region + macierz 12-kolumnowa + zasada „niestabilny wynik ≠ centrum stacjonarne” z 5 alternatywami,Zasada częściowo obecna (2 ścieżki); macierz i elementy niekompletne,CZĘŚCIOWE,"Rekomendacja bez odbiorców, usług, partnerów i KPI nie jest wdrażalna",P1,Kontrakt macierzy EKO_Lokacji 1:1,Metodolog,BRAK — brak macierzy wynikowej
14.9,Zadanie 14,14.9 Katalog dla województw i JST,"14 kolumn + 7 ODRĘBNYCH pakietów adresatów (władze woj., IP, JST, uczelnie, IOB, MŚP, administracja centralna)",Brak różnicowania adresatów,BRAK,Rekomendacja bez adresata nie trafi do wykonawcy — produkt martwy operacyjnie,P1,Model adresatów + generator pakietów,Zespół merytoryczny,"ZALĄŻEK — macierz JST w UI (populateJstMatrixTable, filtr); 14 kolumn i pakietów adresatów brak"
W.1,Walidacja,Walidacja systemowa,"Walidacja danych: 6 raportów (kompletność, aktualność, spójność, imputacja, niezgodności czasowe i przestrzenne)",Brak,BRAK,System bez cyklicznej samokontroli jakości,P0,"Raporty jakości danych cykliczne, widoczne w panelu Jakość danych",Data engineer,ZALĄŻEK — bramka wejścia z raportem odrzuceń przy imporcie; raportów cyklicznych brak
W.2,Walidacja,Walidacja systemowa,"Walidacja indeksów: 10 testów (korelacje, VIF, wagi, stabilność rankingu, normalizacje, obserwacje skrajne, dominanty, baza, średnia wieloletnia)",Brak,BRAK,Pokrywa się z 14.2 — wspólny program metodologiczny,P0,Jeden program walidacji indeksów (synergia z 14.2),Metodolog,"JEST — silnik „JASP-Alternative” klasy publikacyjnej: opisowe z poprawkami małych prób, α Cronbacha, ω McDonalda (osłona Heywooda), PCA-Jacobi, KMO/Bartlett, OLS Gauss-Jordan z pivotingiem i skalowaniem mln PLN, Levene/Welch, aproksymacje rozkładów (Wallace, Wilson-Hilferty, Paulson) — udokumentowany w scientific_validation.md"
W.3,Walidacja,Walidacja systemowa,"Walidacja rekomendacji: 10 kryteriów (wykonalność, prawo, UE, koszt, ryzyko, sprawiedliwość terytorialna, MŚP, wdrażalność, trwałość, zależność od dominant)",Brak,BRAK,Rekomendacje trafiają do ekspertów bez checklisty oceny,P0,Checklist 10 kryteriów wbudowany w workflow HITL,Zespół merytoryczny + Prawnik,BRAK — brak checklisty walidacji rekomendacji
W.4,Walidacja,Walidacja systemowa,"Test sprawiedliwości: 9 kontroli systemowych (nie preferuje największych, nie marginalizuje MŚP, nie karze za brak danych, nie utrwala koncentracji, nie premiuje niskiej bazy itd.)",Brak,BRAK,System może systematycznie utrwalać nierówności — i nikt tego nie zauważy,P0,Okresowy moduł audytu sprawiedliwości z raportem,Metodolog,BRAK — brak testu sprawiedliwości
W.5,Walidacja,Walidacja systemowa,Analityczny bezpiecznik: 10 wielkości prezentowanych RÓWNOLEGLE + flaga „wysoka dynamika – ograniczona trwałość” + automatyczna blokada z 4 ścieżkami,input_metrics zawiera 4 z 10 wielkości; blokada w prompcie,CZĘŚCIOWE,6 z 10 wielkości brak; blokada niedeterministyczna (patrz 11.8.b),P0,Pełny wektor 10 wielkości + bramka deterministyczna,Metodolog + Architekt,ZALĄŻEK — jedynie wskaźnik kompletności wag; wektora 10 wielkości brak
W.6,Walidacja,Walidacja systemowa,"Walidacja ekspercka PRZED uruchomieniem: 7 grup (polityka publiczna, fundusze UE, regionaliści, wdrażający, prawnicy, MŚP, samorządy)",Brak,BRAK,Bramka przedoperacyjna pominięta — system może wejść do użycia bez oceny interesariuszy,P0,Plan walidacji eksperckiej z kryteriami dopuszczenia do użycia,Zamawiający,BRAK — brak walidacji eksperckiej
